Ts_0,Ts_1,Ts_2,Ts_3,Ts_4,Ts_5,Ts_6,Ts_7,Ts_8,Ts_9,Ts_10,Ts_11,Ts_12,Ts_13,Ts_14,Ts_15,Ts_16,Ts_17,Ts_18,Ts_19,Ts_20,Ts_21,Ts_22,Ts_23,Ts_24,Ts_25,Ts_26,Ts_27,Ts_28,Ts_29,Ts_30,Ts_31,Ts_32,Ts_33,Ts_34,Ts_35,Ts_36,Ts_37,Ts_38,Ts_39,Ts_40,Ts_41,Ts_42,Ts_43,Ts_44,Ts_45,Ts_46,Ts_47,Ts_48,Ts_49,Ts_50,Ts_51,Ts_52,Ts_53,Ts_54,Ts_55,Ts_56,Ts_57,Ts_58,Ts_59,Ts_60,Ts_61,Ts_62,Ts_63,Ts_64,Ts_65,Ts_66,Ts_67,Ts_68,Ts_69,Ts_70,Ts_71,Ts_72,Ts_73,Ts_74,Ts_75,Ts_76,Ts_77,Ts_78,Ts_79,Ts_80,Ts_81,Ts_82,Ts_83,Ts_84,Ts_85,Ts_86,Ts_87,Ts_88,Ts_89,Ts_90,Ts_91,Ts_92,Ts_93,Ts_94,Ts_95,Ts_96,Ts_97,Ts_98,Ts_99,Ts_100,Ts_101,Ts_102,Ts_103,Ts_104,Ts_105,Ts_106,Ts_107,Ts_108,Ts_109,Ts_110,Ts_111,Ts_112,Ts_113,Ts_114,Ts_115,Ts_116,Ts_117,Ts_118,Ts_119,Ts_120,Ts_121,Ts_122,Ts_123,Ts_124,Ts_125,Ts_126,Ts_127,Ts_128,Ts_129,Ts_130,Ts_131,Ts_132,Ts_133,Ts_134,Ts_135,Ts_136,Ts_137,Ts_138,Ts_139,Ts_140,Ts_141,Ts_142,Ts_143
0   ,0   ,0   ,0   ,1   ,0   ,0   ,0   ,3   ,0   ,0    ,1    ,0    ,0    ,0    ,0    ,1    ,0    ,1    ,1    ,0    ,0    ,0    ,0    ,0    ,1    ,0    ,1    ,0    ,1    ,2    ,1    ,0    ,1    ,3    ,2    ,2    ,1    ,3    ,3    ,1    ,1    ,0    ,2    ,1    ,0    ,1    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,1     ,0     ,4     ,2     ,5     ,4     ,3     ,4     ,0     ,1     ,1     ,0     ,1     ,0     ,0
0   ,0   ,0   ,0   ,1   ,0   ,0   ,0   ,3   ,0   ,0    ,1    ,0    ,0    ,0    ,0    ,1    ,0    ,1    ,1    ,0    ,0    ,0    ,0    ,0    ,1    ,0    ,1    ,0    ,1    ,2    ,1    ,0    ,1    ,3    ,2    ,3    ,1    ,2    ,3    ,1    ,1    ,0    ,2    ,1    ,0    ,1    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,1     ,0     ,3     ,2     ,5     ,4     ,3     ,5     ,0     ,1     ,1     ,0     ,1     ,0     ,0
0   ,0   ,0   ,0   ,1   ,0   ,0   ,0   ,3   ,0   ,0    ,1    ,0    ,0    ,0    ,0    ,1    ,0    ,1    ,1    ,0    ,0    ,0    ,0    ,0    ,1    ,0    ,1    ,0    ,1    ,2    ,1    ,0    ,1    ,2    ,2    ,3    ,1    ,2    ,3    ,1    ,1    ,1    ,2    ,1    ,0    ,1    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,1     ,0     ,3     ,2     ,5     ,3     ,3     ,5     ,1     ,1     ,1     ,0     ,1     ,0     ,0
0   ,0   ,0   ,0   ,1   ,0   ,0   ,0   ,3   ,0   ,0    ,1    ,0    ,0    ,0    ,0    ,1    ,0    ,1    ,1    ,0    ,0    ,0    ,0    ,0    ,1    ,0    ,1    ,0    ,1    ,2    ,1    ,0    ,1    ,2    ,2    ,2    ,1    ,2    ,3    ,1    ,1    ,1    ,2    ,1    ,0    ,1    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,1     ,0     ,3     ,2     ,5     ,3     ,4     ,4     ,1     ,1     ,1     ,0     ,1     ,0     ,0
0   ,0   ,0   ,0   ,1   ,0   ,0   ,0   ,3   ,1   ,0    ,1    ,0    ,0    ,0    ,0    ,1    ,0    ,1    ,1    ,0    ,0    ,0    ,0    ,0    ,1    ,0    ,1    ,0    ,1    ,2    ,1    ,0    ,1    ,2    ,2    ,3    ,1    ,2    ,3    ,1    ,0    ,1    ,2    ,1    ,0    ,1    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,1     ,0     ,3     ,3     ,5     ,2     ,4     ,4     ,1     ,1     ,1     ,0     ,1     ,0     ,0
0   ,0   ,0   ,0   ,1   ,1   ,0   ,0   ,3   ,1   ,0    ,1    ,0    ,0    ,0    ,0    ,1    ,0    ,1    ,1    ,0    ,0    ,0    ,0    ,0    ,1    ,0    ,1    ,0    ,1    ,2    ,1    ,0    ,1    ,2    ,1    ,4    ,1    ,2    ,3    ,1    ,0    ,1    ,2    ,1    ,0    ,1    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,1     ,0     ,3     ,3     ,5     ,2     ,4     ,3     ,1     ,1     ,1     ,0     ,1     ,0     ,0
0   ,0   ,0   ,0   ,1   ,1   ,0   ,0   ,3   ,1   ,0    ,1    ,0    ,0    ,0    ,0    ,1    ,0    ,1    ,1    ,0    ,0    ,0    ,0    ,0    ,1    ,0    ,1    ,0    ,1    ,2    ,1    ,0    ,2    ,2    ,1    ,4    ,1    ,2    ,3    ,1    ,0    ,1    ,1    ,1    ,0    ,1    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,1     ,0     ,3     ,3     ,5     ,2     ,3     ,3     ,2     ,1     ,1     ,0     ,1     ,0     ,0
0   ,0   ,0   ,0   ,1   ,1   ,0   ,0   ,2   ,1   ,0    ,1    ,0    ,0    ,0    ,0    ,1    ,0    ,1    ,1    ,0    ,0    ,0    ,0    ,0    ,1    ,0    ,1    ,0    ,1    ,2    ,1    ,1    ,2    ,2    ,1    ,4    ,1    ,2    ,3    ,0    ,0    ,1    ,1    ,1    ,0    ,1    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,1     ,0     ,3     ,3     ,5     ,2     ,4     ,3     ,2     ,1     ,1     ,0     ,0     ,0     ,0
0   ,0   ,0   ,0   ,1   ,1   ,0   ,0   ,2   ,1   ,0    ,1    ,0    ,0    ,0    ,0    ,1    ,0    ,1    ,1    ,0    ,0    ,0    ,0    ,0    ,1    ,0    ,1    ,0    ,1    ,2    ,1    ,1    ,2    ,2    ,1    ,4    ,1    ,2    ,3    ,0    ,0    ,1    ,1    ,1    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,1     ,0     ,3     ,2     ,5     ,2     ,4     ,4     ,2     ,1     ,1     ,0     ,0     ,0     ,0
0   ,0   ,0   ,0   ,1   ,1   ,0   ,0   ,2   ,1   ,0    ,1    ,0    ,0    ,0    ,0    ,1    ,0    ,0    ,1    ,0    ,0    ,0    ,0    ,0    ,1    ,0    ,1    ,0    ,1    ,2    ,1    ,1    ,2    ,2    ,1    ,4    ,1    ,2    ,2    ,0    ,0    ,1    ,1    ,1    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,1     ,0     ,3     ,2     ,4     ,2     ,5     ,4     ,2     ,1     ,1     ,0     ,0     ,0     ,0
0   ,0   ,0   ,0   ,1   ,1   ,0   ,0   ,2   ,1   ,0    ,1    ,0    ,0    ,0    ,0    ,1    ,0    ,0    ,1    ,0    ,0    ,0    ,0    ,0    ,1    ,0    ,1    ,0    ,1    ,1    ,1    ,1    ,2    ,2    ,1    ,5    ,1    ,2    ,2    ,0    ,0    ,1    ,2    ,1    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,1     ,0     ,3     ,2     ,4     ,2     ,5     ,4     ,2     ,1     ,1     ,0     ,0     ,0     ,0
0   ,0   ,0   ,0   ,1   ,1   ,0   ,0   ,2   ,1   ,0    ,1    ,0    ,0    ,0    ,0    ,1    ,0    ,0    ,1    ,0    ,0    ,0    ,0    ,0    ,1    ,0    ,1    ,0    ,1    ,1    ,2    ,1    ,2    ,2    ,1    ,5    ,1    ,2    ,1    ,0    ,0    ,1    ,2    ,1    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,1     ,0     ,3     ,2     ,4     ,2     ,6     ,3     ,2     ,1     ,1     ,0     ,0     ,0     ,0
0   ,0   ,0   ,0   ,1   ,1   ,0   ,0   ,2   ,1   ,0    ,1    ,0    ,0    ,0    ,0    ,1    ,0    ,0    ,1    ,0    ,0    ,0    ,0    ,0    ,1    ,0    ,1    ,0    ,1    ,0    ,2    ,1    ,2    ,2    ,1    ,5    ,1    ,2    ,2    ,0    ,0    ,1    ,2    ,1    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,1     ,0     ,3     ,3     ,3     ,2     ,6     ,3     ,2     ,1     ,1     ,0     ,0     ,0     ,0
0   ,0   ,0   ,0   ,1   ,1   ,0   ,0   ,2   ,1   ,0    ,1    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,1    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,1    ,0    ,1    ,0    ,2    ,1    ,2    ,2    ,1    ,5    ,1    ,2    ,2    ,0    ,0    ,2    ,2    ,1    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,1     ,0     ,3     ,4     ,3     ,2     ,5     ,3     ,2     ,1     ,1     ,0     ,0     ,0     ,0
0   ,0   ,0   ,0   ,1   ,1   ,0   ,0   ,2   ,1   ,0    ,1    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,1    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,1    ,0    ,1    ,0    ,2    ,1    ,2    ,2    ,1    ,5    ,1    ,2    ,1    ,0    ,0    ,2    ,2    ,1    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,1     ,0     ,2     ,5     ,3     ,2     ,5     ,3     ,2     ,1     ,1     ,0     ,0     ,0     ,0
0   ,0   ,0   ,0   ,1   ,1   ,0   ,0   ,2   ,1   ,0    ,1    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,1    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,1    ,0    ,1    ,0    ,2    ,1    ,2    ,2    ,1    ,5    ,0    ,2    ,1    ,0    ,0    ,3    ,2    ,1    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,2     ,5     ,3     ,2     ,5     ,3     ,2     ,1     ,1     ,0     ,1     ,0     ,0
0   ,0   ,0   ,0   ,1   ,1   ,0   ,0   ,2   ,1   ,0    ,1    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,1    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,1    ,0    ,1    ,0    ,2    ,1    ,2    ,1    ,1    ,5    ,0    ,2    ,1    ,1    ,0    ,3    ,2    ,1    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,1     ,5     ,3     ,2     ,5     ,3     ,3     ,1     ,1     ,0     ,1     ,0     ,0
0   ,0   ,0   ,0   ,1   ,2   ,0   ,0   ,2   ,1   ,0    ,1    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,1    ,0    ,1    ,0    ,2    ,1    ,2    ,1    ,1    ,4    ,0    ,2    ,1    ,1    ,1    ,3    ,2    ,1    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,1     ,5     ,4     ,2     ,5     ,3     ,3     ,1     ,1     ,0     ,1     ,0     ,0
0   ,0   ,0   ,0   ,1   ,2   ,0   ,0   ,2   ,1   ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,1    ,0    ,1    ,0    ,2    ,1    ,2    ,1    ,1    ,4    ,0    ,2    ,1    ,1    ,1    ,3    ,3    ,1    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,1     ,5     ,4     ,3     ,5     ,3     ,3     ,0     ,1     ,0     ,1     ,0     ,0
0   ,0   ,0   ,0   ,1   ,2   ,0   ,0   ,1   ,1   ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,1    ,0    ,2    ,0    ,2    ,1    ,1    ,1    ,1    ,5    ,0    ,1    ,1    ,1    ,1    ,3    ,3    ,1    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,1     ,5     ,5     ,3     ,5     ,3     ,3     ,0     ,1     ,0     ,1     ,0     ,0
0   ,0   ,0   ,0   ,1   ,2   ,0   ,0   ,1   ,1   ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,1    ,0    ,0    ,1    ,0    ,2    ,0    ,2    ,1    ,1    ,1    ,1    ,5    ,0    ,1    ,1    ,1    ,1    ,3    ,3    ,1    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,5     ,6     ,3     ,5     ,3     ,3     ,0     ,1     ,0     ,1     ,0     ,0
0   ,0   ,0   ,0   ,1   ,2   ,0   ,0   ,1   ,1   ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,1    ,1    ,0    ,0    ,1    ,0    ,2    ,0    ,1    ,1    ,1    ,1    ,1    ,5    ,0    ,1    ,1    ,1    ,1    ,3    ,3    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0    ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,5     ,5     ,4     ,5     ,3     ,3     ,0     ,1     ,0     ,1     ,0     ,0
